,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride,dropout_rate,weight_decay
0,1,1,0.08432145886421204,0.97302,86.44491028785706,88.15335297584534,0.8853,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
1,1,2,0.07708998853206635,0.97368,86.600017786026,182.27278184890747,0.8868,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
2,1,3,0.07247319073200226,0.9752,87.79580450057983,277.6124927997589,0.8914,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
3,1,4,0.06975383594989777,0.9767,88.04087042808533,373.6599507331848,0.8864,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
4,1,5,0.07029952589035034,0.97704,86.49329900741577,467.75190258026123,0.8932,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
5,1,6,0.06919667240619659,0.97754,85.86531949043274,561.2129139900208,0.8883,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
6,1,7,0.06673939352989197,0.97862,85.79413938522339,654.534868478775,0.8887,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
7,1,8,0.06635852080345153,0.97736,86.49732899665833,749.5743553638458,0.8901,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
8,1,9,0.06338541887283325,0.9794,85.77172255516052,842.9122807979584,0.8935,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
9,1,10,0.06341290027618408,0.97894,85.8242597579956,936.1766428947449,0.8914,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
10,1,11,0.06142335555553436,0.97948,86.27859425544739,1030.1227054595947,0.8938,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
11,1,12,0.0628602725315094,0.97996,86.85074543952942,1124.635957956314,0.8934,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
12,1,13,0.06179832549571991,0.97972,87.29952359199524,1219.6967256069183,0.8892,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
13,1,14,0.06108346383571625,0.9791,87.27262663841248,1314.685718536377,0.8918,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
14,1,15,0.05757865183353424,0.98072,87.38330245018005,1409.839206457138,0.8941,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
15,1,16,0.059347136077880856,0.98084,87.26412796974182,1504.829671382904,0.8909,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
16,1,17,0.05995973714828491,0.98024,86.0548300743103,1598.689628124237,0.8958,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
17,1,18,0.0571583933019638,0.9815,85.97413182258606,1692.2634491920471,0.8919,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
18,1,19,0.05905407044410706,0.97996,86.48282599449158,1786.3010702133179,0.893,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
19,1,20,0.05613876340389252,0.98182,87.28954982757568,1881.3039927482605,0.8945,4403518,0.0001,128,0.9,64,2,3,1,0.3,0.003
