,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride,dropout_rate
0,1,1,1.6440312170410156,0.39372,87.05661344528198,88.94798302650452,0.5261,4403518,0.01,128,0.9,64,2,3,1,0.3
1,1,2,1.1640395860290527,0.5867,86.38610649108887,182.88711738586426,0.6269,4403518,0.01,128,0.9,64,2,3,1,0.3
2,1,3,0.9806704200744629,0.6614,86.42416381835938,276.9259262084961,0.6837,4403518,0.01,128,0.9,64,2,3,1,0.3
3,1,4,0.8728675971984863,0.70046,86.32091617584229,370.793662071228,0.7172,4403518,0.01,128,0.9,64,2,3,1,0.3
4,1,5,0.7918849667358399,0.73238,86.60980725288391,464.94031596183777,0.734,4403518,0.01,128,0.9,64,2,3,1,0.3
5,1,6,0.734635157699585,0.75422,86.23983263969421,558.6810908317566,0.7552,4403518,0.01,128,0.9,64,2,3,1,0.3
6,1,7,0.6905148723602295,0.7679,86.31679844856262,652.6374616622925,0.7635,4403518,0.01,128,0.9,64,2,3,1,0.3
7,1,8,0.6497604709625244,0.7833,86.68314266204834,746.9362480640411,0.776,4403518,0.01,128,0.9,64,2,3,1,0.3
8,1,9,0.614213791809082,0.79372,86.23644423484802,840.7913012504578,0.7905,4403518,0.01,128,0.9,64,2,3,1,0.3
9,1,10,0.5774399592590332,0.80632,86.24713587760925,934.6351227760315,0.798,4403518,0.01,128,0.9,64,2,3,1,0.3
10,1,11,0.5588925444030761,0.81218,86.35824418067932,1028.4843492507935,0.7955,4403518,0.01,128,0.9,64,2,3,1,0.3
11,1,12,0.531356840209961,0.82298,86.2250587940216,1122.2621750831604,0.81,4403518,0.01,128,0.9,64,2,3,1,0.3
12,1,13,0.5068794486999512,0.83138,86.38282990455627,1216.1359465122223,0.8114,4403518,0.01,128,0.9,64,2,3,1,0.3
13,1,14,0.4928647135925293,0.83644,86.26125407218933,1309.9669234752655,0.814,4403518,0.01,128,0.9,64,2,3,1,0.3
14,1,15,0.4731574683761597,0.8415,86.08395147323608,1403.6265869140625,0.8231,4403518,0.01,128,0.9,64,2,3,1,0.3
15,1,16,0.4552726036453247,0.84858,86.06415915489197,1497.3107063770294,0.8207,4403518,0.01,128,0.9,64,2,3,1,0.3
