,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride,dropout_rate
40,1,41,0.29410833505630496,0.8981,41.03788900375366,1692.7147257328033,0.847,1506430,0.01,128,0.9,32,2,3,1,0.1
41,1,42,0.2893686741256714,0.90072,41.27756905555725,1734.0072560310364,0.8492,1506430,0.01,128,0.9,32,2,3,1,0.1
42,1,43,0.27975480266571046,0.90348,41.12683463096619,1775.1500217914581,0.8461,1506430,0.01,128,0.9,32,2,3,1,0.1
43,1,44,0.2818316172981262,0.90282,41.067230463027954,1816.2331812381744,0.8464,1506430,0.01,128,0.9,32,2,3,1,0.1
44,1,45,0.2794556775474548,0.90176,41.082889795303345,1857.3320441246033,0.8446,1506430,0.01,128,0.9,32,2,3,1,0.1
45,1,46,0.26940707597732544,0.90612,41.047163248062134,1898.3951382637024,0.8515,1506430,0.01,128,0.9,32,2,3,1,0.1
46,1,47,0.2677795976066589,0.9086,41.18251156806946,1939.5932896137238,0.8508,1506430,0.01,128,0.9,32,2,3,1,0.1
47,1,48,0.2629698474121094,0.90822,41.07096791267395,1980.6802155971527,0.8508,1506430,0.01,128,0.9,32,2,3,1,0.1
48,1,49,0.2632119132232666,0.90836,41.033185720443726,2021.7293033599854,0.8485,1506430,0.01,128,0.9,32,2,3,1,0.1
49,1,50,0.2597028633308411,0.90958,41.47889065742493,2063.2251069545746,0.8513,1506430,0.01,128,0.9,32,2,3,1,0.1
50,1,51,0.2511521157455444,0.91294,41.05746674537659,2104.2994751930237,0.8513,1506430,0.01,128,0.9,32,2,3,1,0.1
51,1,52,0.2540872724914551,0.91228,41.11340880393982,2145.4288251399994,0.8513,1506430,0.01,128,0.9,32,2,3,1,0.1
52,1,53,0.24769930879592897,0.91442,41.293336629867554,2186.7380838394165,0.8477,1506430,0.01,128,0.9,32,2,3,1,0.1
53,1,54,0.2477817756843567,0.9131,41.21415376663208,2227.969161748886,0.8523,1506430,0.01,128,0.9,32,2,3,1,0.1
54,1,55,0.24435206760406494,0.91486,41.04254937171936,2269.0276679992676,0.8501,1506430,0.01,128,0.9,32,2,3,1,0.1
55,1,56,0.24180404333114625,0.91502,41.04374361038208,2310.087336063385,0.8537,1506430,0.01,128,0.9,32,2,3,1,0.1
56,1,57,0.235182768573761,0.91782,41.15863060951233,2351.2621097564697,0.8526,1506430,0.01,128,0.9,32,2,3,1,0.1
57,1,58,0.23164465578079224,0.91878,41.07629370689392,2392.3543603420258,0.8521,1506430,0.01,128,0.9,32,2,3,1,0.1
58,1,59,0.22751103845596313,0.9214,41.064358711242676,2433.4346511363983,0.8464,1506430,0.01,128,0.9,32,2,3,1,0.1
59,1,60,0.23170835988998414,0.91964,41.060184478759766,2474.510793685913,0.8531,1506430,0.01,128,0.9,32,2,3,1,0.1
60,2,1,1.6953275286865235,0.3754,41.22624754905701,41.7744677066803,0.4874,1506430,0.01,128,0.9,32,2,3,1,0.3
61,2,2,1.283808974761963,0.54186,41.104751110076904,82.8951346874237,0.5934,1506430,0.01,128,0.9,32,2,3,1,0.3
62,2,3,1.10122804977417,0.61154,41.072282552719116,123.98335218429565,0.6319,1506430,0.01,128,0.9,32,2,3,1,0.3
63,2,4,1.0076317405700683,0.64906,41.14254307746887,165.14181852340698,0.6625,1506430,0.01,128,0.9,32,2,3,1,0.3
64,2,5,0.9330214558410644,0.67922,41.17212104797363,206.32991480827332,0.6816,1506430,0.01,128,0.9,32,2,3,1,0.3
65,2,6,0.8812538514709473,0.69702,41.34260058403015,247.6884458065033,0.6991,1506430,0.01,128,0.9,32,2,3,1,0.3
66,2,7,0.8422872425842285,0.71362,41.32100772857666,289.02541065216064,0.709,1506430,0.01,128,0.9,32,2,3,1,0.3
67,2,8,0.8011174768066406,0.72612,41.257014989852905,330.29938077926636,0.7199,1506430,0.01,128,0.9,32,2,3,1,0.3
68,2,9,0.7721084832763672,0.7368,41.21941828727722,371.5351221561432,0.7378,1506430,0.01,128,0.9,32,2,3,1,0.3
69,2,10,0.7461681295776367,0.74676,41.02969765663147,412.5817816257477,0.7366,1506430,0.01,128,0.9,32,2,3,1,0.3
70,2,11,0.7204550032043457,0.7561,41.109198808670044,453.70789861679077,0.741,1506430,0.01,128,0.9,32,2,3,1,0.3
71,2,12,0.6956094987487793,0.76426,41.054051876068115,494.77690982818604,0.7569,1506430,0.01,128,0.9,32,2,3,1,0.3
72,2,13,0.6810684708404541,0.76984,41.21277976036072,536.0056030750275,0.7638,1506430,0.01,128,0.9,32,2,3,1,0.3
73,2,14,0.6588115566253662,0.77842,41.072429895401,577.0944097042084,0.7667,1506430,0.01,128,0.9,32,2,3,1,0.3
74,2,15,0.6450607275390625,0.78314,41.03591442108154,618.1472535133362,0.7646,1506430,0.01,128,0.9,32,2,3,1,0.3
75,2,16,0.6250559178924561,0.79048,41.47389340400696,659.6368272304535,0.7789,1506430,0.01,128,0.9,32,2,3,1,0.3
76,2,17,0.612477421951294,0.79486,41.17811942100525,700.8314409255981,0.7781,1506430,0.01,128,0.9,32,2,3,1,0.3
77,2,18,0.5959632265472412,0.7988,41.089967489242554,741.9385242462158,0.7797,1506430,0.01,128,0.9,32,2,3,1,0.3
78,2,19,0.5908573609161377,0.80108,41.106913328170776,783.0623998641968,0.7875,1506430,0.01,128,0.9,32,2,3,1,0.3
79,2,20,0.5718543658447266,0.8099,41.17791962623596,824.2577261924744,0.7918,1506430,0.01,128,0.9,32,2,3,1,0.3
80,2,21,0.5633666722106934,0.80952,41.14028739929199,865.4139556884766,0.784,1506430,0.01,128,0.9,32,2,3,1,0.3
81,2,22,0.5548857680511474,0.81376,41.0692081451416,906.4990949630737,0.7977,1506430,0.01,128,0.9,32,2,3,1,0.3
82,2,23,0.540956138305664,0.81702,41.09006309509277,947.6041212081909,0.7961,1506430,0.01,128,0.9,32,2,3,1,0.3
83,2,24,0.5404233166503907,0.8171,41.135366439819336,988.7561349868774,0.7962,1506430,0.01,128,0.9,32,2,3,1,0.3
84,2,25,0.527050834197998,0.82424,41.0411810874939,1029.8152718544006,0.803,1506430,0.01,128,0.9,32,2,3,1,0.3
85,2,26,0.5240388557434082,0.8241,41.189066886901855,1071.020296573639,0.7946,1506430,0.01,128,0.9,32,2,3,1,0.3
86,2,27,0.5110346909713746,0.83114,41.12339496612549,1112.1605985164642,0.8069,1506430,0.01,128,0.9,32,2,3,1,0.3
87,2,28,0.5039367769622802,0.8306,41.09953427314758,1153.276094198227,0.799,1506430,0.01,128,0.9,32,2,3,1,0.3
88,2,29,0.49555924293518067,0.83202,41.26964998245239,1194.56192278862,0.8106,1506430,0.01,128,0.9,32,2,3,1,0.3
89,2,30,0.4825216884613037,0.83876,41.09449028968811,1235.6743965148926,0.8091,1506430,0.01,128,0.9,32,2,3,1,0.3
90,2,31,0.4835917358779907,0.83806,41.01785087585449,1276.7081792354584,0.8059,1506430,0.01,128,0.9,32,2,3,1,0.3
91,2,32,0.4773018886566162,0.83818,41.18409848213196,1317.9072382450104,0.8135,1506430,0.01,128,0.9,32,2,3,1,0.3
92,2,33,0.46661634887695314,0.84266,40.99190092086792,1358.9153940677643,0.8131,1506430,0.01,128,0.9,32,2,3,1,0.3
93,2,34,0.46460555961608885,0.84348,41.13497495651245,1400.0673236846924,0.8165,1506430,0.01,128,0.9,32,2,3,1,0.3
94,2,35,0.46065124397277835,0.84556,41.28159165382385,1441.3658645153046,0.8101,1506430,0.01,128,0.9,32,2,3,1,0.3
95,2,36,0.45566576984405516,0.84608,41.11587643623352,1482.4983100891113,0.812,1506430,0.01,128,0.9,32,2,3,1,0.3
96,2,37,0.44616200729370115,0.84982,41.227384090423584,1523.7426092624664,0.8101,1506430,0.01,128,0.9,32,2,3,1,0.3
97,2,38,0.4445765277099609,0.85066,41.283231258392334,1565.0425112247467,0.8208,1506430,0.01,128,0.9,32,2,3,1,0.3
98,2,39,0.43981410572052004,0.85292,41.23146057128906,1606.2899188995361,0.8134,1506430,0.01,128,0.9,32,2,3,1,0.3
99,2,40,0.4334531369400024,0.85484,41.07983446121216,1647.385683298111,0.8183,1506430,0.01,128,0.9,32,2,3,1,0.3
100,2,41,0.43280194774627684,0.85364,41.07743310928345,1688.4800651073456,0.8153,1506430,0.01,128,0.9,32,2,3,1,0.3
101,2,42,0.421010128364563,0.86002,41.248589277267456,1729.7433743476868,0.8256,1506430,0.01,128,0.9,32,2,3,1,0.3
102,2,43,0.41445917095184326,0.8615,41.146700620651245,1770.906023979187,0.8259,1506430,0.01,128,0.9,32,2,3,1,0.3
103,2,44,0.4078722569656372,0.86338,40.98574137687683,1811.9087069034576,0.8251,1506430,0.01,128,0.9,32,2,3,1,0.3
104,2,45,0.4122449132156372,0.86142,41.159385681152344,1853.084061384201,0.8226,1506430,0.01,128,0.9,32,2,3,1,0.3
105,2,46,0.41286168384552,0.86172,41.25007700920105,1894.3511369228363,0.8236,1506430,0.01,128,0.9,32,2,3,1,0.3
106,2,47,0.40483158401489255,0.8639,41.10765051841736,1935.4747200012207,0.8208,1506430,0.01,128,0.9,32,2,3,1,0.3
107,2,48,0.3999237004852295,0.86626,41.1360969543457,1976.627602338791,0.8248,1506430,0.01,128,0.9,32,2,3,1,0.3
108,2,49,0.3922010538482666,0.86802,41.02573871612549,2017.669298171997,0.8234,1506430,0.01,128,0.9,32,2,3,1,0.3
109,2,50,0.39366238674163817,0.86858,40.99831771850586,2058.6845483779907,0.8291,1506430,0.01,128,0.9,32,2,3,1,0.3
110,2,51,0.38807999736785886,0.86948,41.105961322784424,2099.80646777153,0.8267,1506430,0.01,128,0.9,32,2,3,1,0.3
111,2,52,0.3880946379852295,0.86998,41.036330461502075,2140.8587284088135,0.8319,1506430,0.01,128,0.9,32,2,3,1,0.3
112,2,53,0.3860264702987671,0.8719,41.06556797027588,2181.942236661911,0.8289,1506430,0.01,128,0.9,32,2,3,1,0.3
113,2,54,0.37812907974243165,0.87122,41.11610412597656,2223.075296163559,0.8256,1506430,0.01,128,0.9,32,2,3,1,0.3
114,2,55,0.37511603523254394,0.8738,41.24779009819031,2264.340014696121,0.8332,1506430,0.01,128,0.9,32,2,3,1,0.3
115,2,56,0.3744148587417603,0.87416,41.09544277191162,2305.452420949936,0.8296,1506430,0.01,128,0.9,32,2,3,1,0.3
116,2,57,0.37011071659088135,0.87644,41.16354060173035,2346.6331310272217,0.8301,1506430,0.01,128,0.9,32,2,3,1,0.3
