,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride
0,1,1,2.2892433251953124,0.13284,11.115274906158447,12.699039459228516,0.1637,50677,0.01,128,0.9,6,1.5,3,1
1,1,2,1.955076512145996,0.2878,10.628658533096313,23.34865665435791,0.3632,50677,0.01,128,0.9,6,1.5,3,1
2,1,3,1.6387273257446289,0.40942,10.644543886184692,34.00812888145447,0.4496,50677,0.01,128,0.9,6,1.5,3,1
3,1,4,1.4894476361083984,0.4648,10.630589723587036,44.653661489486694,0.4884,50677,0.01,128,0.9,6,1.5,3,1
4,1,5,1.4107628411865234,0.4948,10.604689598083496,55.273293256759644,0.5047,50677,0.01,128,0.9,6,1.5,3,1
5,1,6,1.3431292303466797,0.51988,10.670709371566772,65.95890522003174,0.5237,50677,0.01,128,0.9,6,1.5,3,1
6,1,7,1.2781948300170898,0.5425,10.67445421218872,76.6482937335968,0.5395,50677,0.01,128,0.9,6,1.5,3,1
7,1,8,1.2183619107055663,0.5652,10.812088012695312,87.47534132003784,0.5584,50677,0.01,128,0.9,6,1.5,3,1
8,1,9,1.1640449644470214,0.5856,11.18711233139038,98.67841076850891,0.5684,50677,0.01,128,0.9,6,1.5,3,1
9,1,10,1.1146500193786621,0.60542,10.652578115463257,109.34531426429749,0.5769,50677,0.01,128,0.9,6,1.5,3,1
10,1,11,1.0704101438903808,0.62318,10.719361305236816,120.07960939407349,0.5776,50677,0.01,128,0.9,6,1.5,3,1
11,1,12,1.0332398445129394,0.63696,10.981433629989624,131.07697367668152,0.5849,50677,0.01,128,0.9,6,1.5,3,1
12,1,13,0.9956223884582519,0.6504,10.749283075332642,141.84118103981018,0.5891,50677,0.01,128,0.9,6,1.5,3,1
13,1,14,0.9638288096618652,0.66094,10.725810527801514,152.58193564414978,0.5834,50677,0.01,128,0.9,6,1.5,3,1
14,1,15,0.9354092044067382,0.67198,10.663384914398193,163.2592887878418,0.5812,50677,0.01,128,0.9,6,1.5,3,1
15,1,16,0.9136594342041016,0.67788,10.65717363357544,173.93142819404602,0.5887,50677,0.01,128,0.9,6,1.5,3,1
16,1,17,0.8921927403259278,0.68614,10.705984592437744,184.6523973941803,0.5879,50677,0.01,128,0.9,6,1.5,3,1
17,1,18,0.878534981842041,0.6895,10.722321510314941,195.38966917991638,0.6019,50677,0.01,128,0.9,6,1.5,3,1
18,1,19,0.8599657386779785,0.69708,10.708359479904175,206.11199712753296,0.6018,50677,0.01,128,0.9,6,1.5,3,1
19,1,20,0.8495838258361816,0.7013,10.775212526321411,216.9021418094635,0.5996,50677,0.01,128,0.9,6,1.5,3,1
20,1,21,0.8372834066772461,0.70552,10.71130919456482,227.62838530540466,0.5992,50677,0.01,128,0.9,6,1.5,3,1
21,1,22,0.8133245779418945,0.71528,10.740193367004395,238.38351249694824,0.595,50677,0.01,128,0.9,6,1.5,3,1
22,1,23,0.7942508386230469,0.72166,10.71873688697815,249.11718273162842,0.5999,50677,0.01,128,0.9,6,1.5,3,1
23,1,24,0.7830343093872071,0.72392,10.704596996307373,259.83577036857605,0.6019,50677,0.01,128,0.9,6,1.5,3,1
