,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride
86,3,27,0.16919420506477356,0.94208,24.877272129058838,672.990362405777,0.6044,698122,0.01,128,0.9,18,2,7,1
87,3,28,0.15563690212249756,0.9488,24.863507986068726,697.8698010444641,0.5967,698122,0.01,128,0.9,18,2,7,1
88,3,29,0.1421986161518097,0.95258,24.896750926971436,722.7825005054474,0.6036,698122,0.01,128,0.9,18,2,7,1
89,3,30,0.128095866689682,0.95722,24.895572423934937,747.6938824653625,0.6018,698122,0.01,128,0.9,18,2,7,1
90,4,1,2.2320344702148436,0.16104,26.785435914993286,27.019842624664307,0.2252,1505470,0.01,128,0.9,32,2,3,1
91,4,2,1.8686500305175782,0.31752,26.79468536376953,53.82947087287903,0.398,1505470,0.01,128,0.9,32,2,3,1
92,4,3,1.5373744604492188,0.44256,26.788583993911743,80.63401556015015,0.4885,1505470,0.01,128,0.9,32,2,3,1
93,4,4,1.3412447158813476,0.51934,26.857360363006592,107.50751876831055,0.5473,1505470,0.01,128,0.9,32,2,3,1
94,4,5,1.188829362487793,0.577,26.743836879730225,134.26631116867065,0.5977,1505470,0.01,128,0.9,32,2,3,1
95,4,6,1.039962593383789,0.63366,26.76790738105774,161.05014419555664,0.64,1505470,0.01,128,0.9,32,2,3,1
96,4,7,0.897840972290039,0.68388,26.802873134613037,187.86928963661194,0.6563,1505470,0.01,128,0.9,32,2,3,1
97,4,8,0.779324289855957,0.72774,26.770522594451904,214.65576934814453,0.6668,1505470,0.01,128,0.9,32,2,3,1
98,4,9,0.6840251477050782,0.76322,26.81161093711853,241.48378944396973,0.6686,1505470,0.01,128,0.9,32,2,3,1
99,4,10,0.5925425241851807,0.7936,26.79621386528015,268.29592728614807,0.6765,1505470,0.01,128,0.9,32,2,3,1
100,4,11,0.504819133605957,0.823,26.740638732910156,295.05451345443726,0.6781,1505470,0.01,128,0.9,32,2,3,1
101,4,12,0.4386755128097534,0.84442,26.741724252700806,321.8105239868164,0.6776,1505470,0.01,128,0.9,32,2,3,1
102,4,13,0.37082286067962644,0.86896,26.74747109413147,348.57504963874817,0.6864,1505470,0.01,128,0.9,32,2,3,1
103,4,14,0.300507971534729,0.89508,26.761597156524658,375.353568315506,0.676,1505470,0.01,128,0.9,32,2,3,1
104,4,15,0.2521690068435669,0.9099,26.7734591960907,402.141991853714,0.6661,1505470,0.01,128,0.9,32,2,3,1
105,4,16,0.21047930166244508,0.9264,26.74948763847351,428.9059498310089,0.6693,1505470,0.01,128,0.9,32,2,3,1
106,4,17,0.1561513942718506,0.9442,26.78547167778015,455.7083444595337,0.6833,1505470,0.01,128,0.9,32,2,3,1
107,4,18,0.12955992863655091,0.95548,26.821847438812256,482.5448884963989,0.6818,1505470,0.01,128,0.9,32,2,3,1
108,4,19,0.10311669480800628,0.96506,26.822216749191284,509.3830361366272,0.6943,1505470,0.01,128,0.9,32,2,3,1
109,4,20,0.08513319015026093,0.97028,26.70875597000122,536.1087026596069,0.6926,1505470,0.01,128,0.9,32,2,3,1
110,4,21,0.07166493239879608,0.97554,26.773898124694824,562.8973379135132,0.6847,1505470,0.01,128,0.9,32,2,3,1
111,4,22,0.05735260181903839,0.98126,26.792091608047485,589.7053534984589,0.6839,1505470,0.01,128,0.9,32,2,3,1
112,4,23,0.04639849154472351,0.98462,26.794238805770874,616.5165679454803,0.7012,1505470,0.01,128,0.9,32,2,3,1
113,4,24,0.045022879056930545,0.98456,26.73064613342285,643.2631375789642,0.702,1505470,0.01,128,0.9,32,2,3,1
114,4,25,0.035146452951431276,0.98796,26.834737539291382,670.1128339767456,0.7037,1505470,0.01,128,0.9,32,2,3,1
115,4,26,0.03362768786430359,0.98864,26.784104347229004,696.9118809700012,0.7106,1505470,0.01,128,0.9,32,2,3,1
116,4,27,0.02662902063757181,0.991,26.806073904037476,723.7338945865631,0.7153,1505470,0.01,128,0.9,32,2,3,1
117,4,28,0.02199453064918518,0.99282,26.7843816280365,750.5342047214508,0.7131,1505470,0.01,128,0.9,32,2,3,1
118,4,29,0.022752582765817642,0.99298,26.784871578216553,777.3340282440186,0.7056,1505470,0.01,128,0.9,32,2,3,1
119,4,30,0.022059030319452284,0.99268,26.743650674819946,804.0936377048492,0.7091,1505470,0.01,128,0.9,32,2,3,1
120,5,1,2.2392838806152344,0.14612,31.045498847961426,31.246958255767822,0.2381,1365694,0.01,128,0.9,32,2,5,1
121,5,2,1.849589205932617,0.3209,30.98027801513672,62.24316215515137,0.3814,1365694,0.01,128,0.9,32,2,5,1
122,5,3,1.5761230310058594,0.42344,31.062050104141235,93.32114267349243,0.467,1365694,0.01,128,0.9,32,2,5,1
123,5,4,1.353190859375,0.50878,30.99382781982422,124.32992887496948,0.5541,1365694,0.01,128,0.9,32,2,5,1
124,5,5,1.189481944732666,0.57452,31.078195095062256,155.4240550994873,0.5898,1365694,0.01,128,0.9,32,2,5,1
125,5,6,1.0431392601013183,0.6324,31.092991590499878,186.53303146362305,0.6149,1365694,0.01,128,0.9,32,2,5,1
126,5,7,0.9096957659912109,0.6786,31.26310443878174,217.8120641708374,0.6528,1365694,0.01,128,0.9,32,2,5,1
127,5,8,0.7912486508178711,0.72272,31.04518485069275,248.87317776679993,0.6833,1365694,0.01,128,0.9,32,2,5,1
128,5,9,0.7006296459960938,0.75518,30.972578287124634,279.86212158203125,0.688,1365694,0.01,128,0.9,32,2,5,1
129,5,10,0.6080341624450684,0.7867,30.99818468093872,310.8762421607971,0.6864,1365694,0.01,128,0.9,32,2,5,1
130,5,11,0.5500776766967773,0.8079,31.003376722335815,341.89674496650696,0.6721,1365694,0.01,128,0.9,32,2,5,1
131,5,12,0.4856762134552002,0.82788,31.00006127357483,372.91276478767395,0.6923,1365694,0.01,128,0.9,32,2,5,1
132,5,13,0.4330649919128418,0.84644,31.011446952819824,403.94042444229126,0.6842,1365694,0.01,128,0.9,32,2,5,1
133,5,14,0.3671142324447632,0.8692,31.01094365119934,434.9682900905609,0.686,1365694,0.01,128,0.9,32,2,5,1
134,5,15,0.32144772972106933,0.88552,31.001643419265747,465.9868948459625,0.6873,1365694,0.01,128,0.9,32,2,5,1
135,5,16,0.2667681681251526,0.90688,31.03563952445984,497.03746724128723,0.6937,1365694,0.01,128,0.9,32,2,5,1
136,5,17,0.21316309739112854,0.92534,31.034245014190674,528.0876326560974,0.6718,1365694,0.01,128,0.9,32,2,5,1
137,5,18,0.19767368013381958,0.9317,31.020304203033447,559.1238687038422,0.6758,1365694,0.01,128,0.9,32,2,5,1
138,5,19,0.15914877818107606,0.94452,30.971038103103638,590.1118800640106,0.6769,1365694,0.01,128,0.9,32,2,5,1
139,5,20,0.13937378294944763,0.95306,31.010748624801636,621.1385514736176,0.6943,1365694,0.01,128,0.9,32,2,5,1
140,5,21,0.11577398981571198,0.96092,30.999696493148804,652.1562006473541,0.6838,1365694,0.01,128,0.9,32,2,5,1
141,5,22,0.1019387155532837,0.96532,30.9787700176239,683.1548843383789,0.6885,1365694,0.01,128,0.9,32,2,5,1
142,5,23,0.0933306583404541,0.96824,30.978715419769287,714.1525168418884,0.6928,1365694,0.01,128,0.9,32,2,5,1
143,5,24,0.07303207968711853,0.9754,31.00246810913086,745.1730399131775,0.6906,1365694,0.01,128,0.9,32,2,5,1
144,5,25,0.0716207819032669,0.97628,30.999656915664673,776.1886377334595,0.7007,1365694,0.01,128,0.9,32,2,5,1
145,5,26,0.05433690593242645,0.98188,31.097785234451294,807.3012764453888,0.7081,1365694,0.01,128,0.9,32,2,5,1
146,5,27,0.05711539726734161,0.98098,31.03858232498169,838.3547661304474,0.7095,1365694,0.01,128,0.9,32,2,5,1
147,5,28,0.04973309358119964,0.98314,30.98532247543335,869.3570096492767,0.7114,1365694,0.01,128,0.9,32,2,5,1
148,5,29,0.04222898256778717,0.98628,31.017419576644897,900.3896765708923,0.7153,1365694,0.01,128,0.9,32,2,5,1
149,5,30,0.03963441632270813,0.98744,31.023696899414062,931.4293026924133,0.718,1365694,0.01,128,0.9,32,2,5,1
150,6,1,2.231580809020996,0.15,36.40541911125183,36.60089588165283,0.2672,2154430,0.01,128,0.9,32,2,7,1
151,6,2,1.8296050848388672,0.32956,36.4029495716095,73.01977491378784,0.381,2154430,0.01,128,0.9,32,2,7,1
152,6,3,1.5593545239257813,0.42796,36.44862604141235,109.48535704612732,0.4662,2154430,0.01,128,0.9,32,2,7,1
153,6,4,1.3786834509277344,0.50218,36.390058755874634,145.89234447479248,0.5275,2154430,0.01,128,0.9,32,2,7,1
154,6,5,1.2307507504272461,0.56206,36.438626289367676,182.34696102142334,0.5523,2154430,0.01,128,0.9,32,2,7,1
155,6,6,1.1036524179077147,0.61006,36.434197425842285,218.79722094535828,0.5825,2154430,0.01,128,0.9,32,2,7,1
156,6,7,0.9766390922546386,0.65548,36.36082983016968,255.17397904396057,0.6138,2154430,0.01,128,0.9,32,2,7,1
157,6,8,0.8618185829162598,0.69528,36.37722659111023,291.5661392211914,0.6315,2154430,0.01,128,0.9,32,2,7,1
158,6,9,0.7753824919128418,0.72904,36.61115527153015,328.1942489147186,0.6355,2154430,0.01,128,0.9,32,2,7,1
159,6,10,0.7003260076141358,0.75498,36.39267158508301,364.60316038131714,0.638,2154430,0.01,128,0.9,32,2,7,1
160,6,11,0.6098857669830322,0.78706,36.40450739860535,401.0226275920868,0.6256,2154430,0.01,128,0.9,32,2,7,1
161,6,12,0.5304162009429931,0.8156,36.31934666633606,437.3579046726227,0.6413,2154430,0.01,128,0.9,32,2,7,1
162,6,13,0.4689578866195679,0.83608,36.4079532623291,473.7818760871887,0.6361,2154430,0.01,128,0.9,32,2,7,1
163,6,14,0.39153931812286374,0.86344,36.34405255317688,510.1419081687927,0.6012,2154430,0.01,128,0.9,32,2,7,1
164,6,15,0.3382668712425232,0.88324,36.40206789970398,546.5599048137665,0.6083,2154430,0.01,128,0.9,32,2,7,1
165,6,16,0.282873639087677,0.9028,36.39243507385254,582.9690101146698,0.626,2154430,0.01,128,0.9,32,2,7,1
166,6,17,0.22563583652496338,0.9223,36.37779402732849,619.3627283573151,0.6302,2154430,0.01,128,0.9,32,2,7,1
167,6,18,0.18578659446716309,0.93706,36.40389895439148,655.7825729846954,0.6302,2154430,0.01,128,0.9,32,2,7,1
168,6,19,0.15152875692367554,0.949,36.396244049072266,692.1947755813599,0.6441,2154430,0.01,128,0.9,32,2,7,1
169,6,20,0.12285379241943359,0.9589,36.41650748252869,728.6272397041321,0.6429,2154430,0.01,128,0.9,32,2,7,1
170,6,21,0.10202596230506897,0.9667,36.44307208061218,765.0862340927124,0.6482,2154430,0.01,128,0.9,32,2,7,1
