,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,weight_decay,pretrained
0,1,1,2.4324630310058595,0.174,10.378852367401123,11.99771499633789,0.1859,11181642,0.01,32,0.9,0.01,[False]
1,1,2,2.1549317291259764,0.2522,10.391541242599487,25.299907445907593,0.254,11181642,0.01,32,0.9,0.01,[False]
2,1,3,2.0363133460998535,0.2698,10.386250019073486,38.522571086883545,0.2905,11181642,0.01,32,0.9,0.01,[False]
3,1,4,1.8952439056396484,0.3158,10.38911747932434,51.789989709854126,0.3335,11181642,0.01,32,0.9,0.01,[False]
4,1,5,1.7813763397216797,0.3596,10.378759622573853,65.02412986755371,0.3466,11181642,0.01,32,0.9,0.01,[False]
5,1,6,1.6944734725952149,0.3898,10.413467168807983,78.27899765968323,0.3583,11181642,0.01,32,0.9,0.01,[False]
6,1,7,1.6574681007385255,0.3998,10.45967698097229,91.56852984428406,0.3699,11181642,0.01,32,0.9,0.01,[False]
7,1,8,1.5968352729797364,0.4276,10.413330554962158,104.86415195465088,0.3795,11181642,0.01,32,0.9,0.01,[False]
8,1,9,1.5654464004516602,0.4414,10.399112462997437,118.12660479545593,0.3837,11181642,0.01,32,0.9,0.01,[False]
9,1,10,1.5183932163238525,0.4616,10.412631750106812,131.38662195205688,0.3842,11181642,0.01,32,0.9,0.01,[False]
10,1,11,1.4730784362792968,0.484,10.422158241271973,144.74592518806458,0.3797,11181642,0.01,32,0.9,0.01,[False]
11,1,12,1.4284403743743896,0.4994,10.361361026763916,157.96364879608154,0.3904,11181642,0.01,32,0.9,0.01,[False]
12,1,13,1.3379972972869874,0.5386,10.38465142250061,171.22763895988464,0.4038,11181642,0.01,32,0.9,0.01,[False]
13,1,14,1.3066555263519286,0.5544,10.483699321746826,184.57068037986755,0.4052,11181642,0.01,32,0.9,0.01,[False]
14,1,15,1.2727099552154542,0.5704,10.376248598098755,197.84218549728394,0.3715,11181642,0.01,32,0.9,0.01,[False]
15,1,16,1.2187945152282715,0.588,10.35633373260498,211.1057436466217,0.3837,11181642,0.01,32,0.9,0.01,[False]
16,1,17,1.1885671073913575,0.5958,10.381235122680664,224.38220477104187,0.3954,11181642,0.01,32,0.9,0.01,[False]
17,1,18,1.1654737380981446,0.6066,10.402592420578003,237.63817358016968,0.3945,11181642,0.01,32,0.9,0.01,[False]
18,1,19,1.1534538631439208,0.6144,10.358211040496826,250.88964819908142,0.4104,11181642,0.01,32,0.9,0.01,[False]
19,1,20,1.1081199661254884,0.6302,10.369839906692505,264.16870760917664,0.4224,11181642,0.01,32,0.9,0.01,[False]
20,1,21,1.062052893447876,0.6494,10.398242950439453,277.44921374320984,0.433,11181642,0.01,32,0.9,0.01,[False]
21,1,22,1.0187481037139892,0.666,10.398578882217407,290.7300844192505,0.4149,11181642,0.01,32,0.9,0.01,[False]
22,1,23,0.9758066061019898,0.683,10.355731964111328,303.9601285457611,0.4149,11181642,0.01,32,0.9,0.01,[False]
23,1,24,0.9835554790496827,0.6714,10.370290756225586,317.20663571357727,0.4076,11181642,0.01,32,0.9,0.01,[False]
24,1,25,0.9433940515518189,0.6886,10.375227928161621,330.4840717315674,0.3985,11181642,0.01,32,0.9,0.01,[False]
25,1,26,0.9355132169723511,0.69,10.405173778533936,343.72964906692505,0.3891,11181642,0.01,32,0.9,0.01,[False]
26,1,27,0.8859342924118042,0.7158,10.461279392242432,357.1101531982422,0.4083,11181642,0.01,32,0.9,0.01,[False]
27,1,28,0.8915965599060058,0.715,10.460052490234375,370.5053200721741,0.4099,11181642,0.01,32,0.9,0.01,[False]
28,1,29,0.8594905147552491,0.717,10.379851818084717,383.7395374774933,0.3856,11181642,0.01,32,0.9,0.01,[False]
29,1,30,0.8462916131973267,0.7142,10.399870872497559,397.0076653957367,0.4023,11181642,0.01,32,0.9,0.01,[False]
30,1,31,0.8044555265426636,0.7342,10.400541543960571,410.2376112937927,0.3801,11181642,0.01,32,0.9,0.01,[False]
31,1,32,0.8265543605804443,0.7352,10.411154985427856,423.5559904575348,0.3705,11181642,0.01,32,0.9,0.01,[False]
32,1,33,0.7798242885589599,0.745,10.400184392929077,436.8494379520416,0.3903,11181642,0.01,32,0.9,0.01,[False]
33,1,34,0.8080746677398681,0.7342,10.356201648712158,450.10490012168884,0.3959,11181642,0.01,32,0.9,0.01,[False]
34,1,35,0.7917965385437011,0.7448,10.394173860549927,463.3674302101135,0.3954,11181642,0.01,32,0.9,0.01,[False]
35,1,36,0.7803253801345825,0.7498,10.392205953598022,476.6179919242859,0.4065,11181642,0.01,32,0.9,0.01,[False]
36,1,37,0.7757047468185425,0.744,10.396168947219849,490.00319385528564,0.3967,11181642,0.01,32,0.9,0.01,[False]
