,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,weight_decay,p,num_drop_layers,pretrained
40,2,11,0.0249525,0.9936,40.87475228,787.8260095,0.8947,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
41,2,12,0.012108931,0.9966,40.88184452,862.4373083,0.8956,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
42,2,13,0.003132413,0.9996,40.87982512,936.8649435,0.8937,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
43,2,14,0.004255089,0.9988,40.87651777,1011.18602,0.8979,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
44,2,15,0.002868579,0.9994,40.93779397,1085.947398,0.9,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
45,2,16,0.010691517,0.9966,40.87979674,1160.379761,0.8811,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
46,2,17,0.005390766,0.9992,40.89514732,1235.030724,0.8981,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
47,2,18,0.001380681,1,40.87852097,1309.448457,0.9002,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
48,2,19,0.001352661,0.9998,40.88506126,1384.063346,0.8951,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
49,2,20,0.000739547,1,40.89709139,1458.566592,0.8998,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
50,2,21,0.000376585,1,40.89903426,1532.968102,0.9019,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
51,2,22,0.000309833,1,40.90978694,1607.380263,0.9035,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
52,2,23,0.0002776,1,40.88556027,1681.933846,0.9032,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
53,2,24,0.000273392,1,40.88483167,1756.471922,0.9015,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
54,2,25,0.000290073,1,40.87903118,1830.97776,0.9056,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
55,2,26,0.000261298,1,40.91977143,1905.441008,0.9017,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
56,2,27,0.000266972,1,40.88294983,1980.108295,0.9034,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
57,2,28,0.000247251,1,40.87772632,2054.446428,0.9047,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
58,2,29,0.000302379,1,40.89374399,2128.954278,0.9018,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
59,2,30,0.00027367,1,40.85679674,2203.372289,0.9026,11181642,0.001,32,0.9,0.001,0.1,2,"[True, 'all']"
60,3,1,1.352164591,0.5604,42.01318812,43.73575401,0.79,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
61,3,2,0.729586094,0.7514,40.96205544,118.2219386,0.5919,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
62,3,3,0.43117036,0.8504,40.91239786,193.2796159,0.7834,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
63,3,4,0.296177865,0.897,40.93058228,267.5949259,0.7392,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
64,3,5,0.230296873,0.922,40.88207531,341.7689984,0.8231,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
65,3,6,0.173397873,0.9364,40.9226985,416.1180885,0.8445,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
66,3,7,0.119466188,0.959,40.88512111,490.5438137,0.8465,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
67,3,8,0.090394741,0.9688,40.8188231,564.9548306,0.8365,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
68,3,9,0.081495984,0.9714,40.81654382,639.2179921,0.8222,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
69,3,10,0.037774348,0.9884,40.83993912,713.5154822,0.8823,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
70,3,11,0.049427915,0.9818,40.88233542,787.743377,0.8753,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
71,3,12,0.04317463,0.984,40.86812687,862.1004581,0.8801,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
72,3,13,0.013390014,0.996,40.93064046,936.7898474,0.8751,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
73,3,14,0.005318342,0.9994,40.86429644,1011.316243,0.8951,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
74,3,15,0.00818372,0.998,40.85811853,1085.60502,0.8846,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
75,3,16,0.003639609,0.9986,41.07983923,1161.07495,0.8828,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
76,3,17,0.009268188,0.9968,41.0656476,1235.949208,0.8922,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
77,3,18,0.003443438,0.9994,41.06817007,1311.040767,0.8969,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
78,3,19,0.00178489,0.9998,40.98078799,1385.76636,0.9035,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
79,3,20,0.000667485,1,41.39176583,1463.705245,0.8987,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
80,3,21,0.001219369,1,40.23809171,1540.020131,0.897,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
81,3,22,0.000520588,1,41.07612681,1616.904974,0.9002,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
82,3,23,0.000294164,1,41.23144007,1692.08506,0.9016,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
83,3,24,0.000464464,1,41.12084723,1768.216447,0.9032,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
84,3,25,0.000365827,1,41.15649986,1844.050752,0.9023,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
85,3,26,0.000314192,1,40.93990874,1920.326885,0.9002,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
86,3,27,0.000308732,1,38.81406665,1993.87209,0.9008,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
87,3,28,0.00048211,1,40.86620879,2067.930606,0.9026,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
88,3,29,0.000357698,1,40.95755982,2141.830097,0.8995,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
89,3,30,0.000281291,1,41.12590146,2216.43257,0.9046,11181642,0.001,32,0.9,0.001,0.1,3,"[True, 'all']"
90,4,1,1.42806239,0.5346,42.31883144,43.89864135,0.7564,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
91,4,2,0.793923061,0.7226,41.15737605,118.8646421,0.6263,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
92,4,3,0.478424363,0.8346,41.49901056,193.4313676,0.7284,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
93,4,4,0.344300081,0.8854,41.44224548,270.2344732,0.7843,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
94,4,5,0.233115256,0.9194,41.55487084,345.5291419,0.8418,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
95,4,6,0.19609415,0.9304,41.26259995,419.9121957,0.8178,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
96,4,7,0.144363721,0.9496,41.26136446,494.4077122,0.8213,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
97,4,8,0.117285865,0.958,41.16351891,568.781446,0.8495,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
98,4,9,0.090399383,0.9696,41.27026653,643.2534332,0.8492,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
99,4,10,0.056333627,0.9814,41.26469469,718.3926055,0.8743,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
100,4,11,0.042181979,0.9872,41.41308451,793.6171768,0.8748,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
101,4,12,0.031558179,0.9904,40.95487237,867.3713329,0.8745,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
102,4,13,0.030132468,0.991,41.12625718,941.4247839,0.8866,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
103,4,14,0.025110474,0.9928,41.18190169,1015.607454,0.8888,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
104,4,15,0.007529479,0.9988,41.02287722,1089.76617,0.8909,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
105,4,16,0.005215911,0.999,40.90160155,1163.456926,0.8877,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
106,4,17,0.002987963,0.9996,40.93651962,1237.064168,0.8956,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
107,4,18,0.00242567,0.9996,40.92558694,1310.733086,0.8955,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
108,4,19,0.022952055,0.992,40.93916941,1384.367882,0.8876,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
109,4,20,0.002554228,0.9998,40.90885425,1457.841739,0.8956,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
110,4,21,0.001126926,1,40.92566538,1531.338844,0.9019,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
111,4,22,0.000834862,1,41.86708474,1605.922373,0.9011,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
112,4,23,0.000527079,1,41.38957882,1683.547858,0.9013,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
113,4,24,0.000554918,1,41.35610962,1758.71056,0.8987,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
114,4,25,0.000707464,1,39.79320455,1835.632517,0.9,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
115,4,26,0.000403842,1,41.49802279,1912.176003,0.9007,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
116,4,27,0.000540423,1,41.25289726,1988.680232,0.9014,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
117,4,28,0.000314452,1,41.60266089,2066.383271,0.9025,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
118,4,29,0.000370343,1,41.16998124,2144.036623,0.8995,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
