,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,weight_decay,pretrained
0,1,1,1.351124153,0.55812,114.0513532,115.4181843,0.6929,11181642,0.01,32,0.9,0.001,"[True, 'all']"
1,1,2,0.864288247,0.7091,113.9136972,232.197237,0.7434,11181642,0.01,32,0.9,0.001,"[True, 'all']"
2,1,3,0.700851251,0.76232,114.0739942,349.2164171,0.7468,11181642,0.01,32,0.9,0.001,"[True, 'all']"
3,1,4,0.60091031,0.7948,113.8692393,466.21629,0.7517,11181642,0.01,32,0.9,0.001,"[True, 'all']"
4,1,5,0.540907396,0.814,114.0327723,583.1543257,0.7501,11181642,0.01,32,0.9,0.001,"[True, 'all']"
5,1,6,0.5010726,0.82744,114.1554205,700.1621227,0.7464,11181642,0.01,32,0.9,0.001,"[True, 'all']"
6,1,7,0.459536083,0.84278,113.8139911,816.8623979,0.7546,11181642,0.01,32,0.9,0.001,"[True, 'all']"
7,1,8,0.428990124,0.85136,113.9267676,933.7003844,0.7475,11181642,0.01,32,0.9,0.001,"[True, 'all']"
8,1,9,0.410026753,0.85662,114.0469973,1050.673499,0.7533,11181642,0.01,32,0.9,0.001,"[True, 'all']"
9,1,10,0.386637201,0.86624,114.2032931,1167.792,0.7486,11181642,0.01,32,0.9,0.001,"[True, 'all']"
10,1,11,0.368342768,0.8719,113.7805009,1284.474705,0.7508,11181642,0.01,32,0.9,0.001,"[True, 'all']"
11,1,12,0.354021389,0.87628,114.0665095,1401.450411,0.7464,11181642,0.01,32,0.9,0.001,"[True, 'all']"
12,1,13,0.339283708,0.8824,113.8194776,1518.230993,0.7495,11181642,0.01,32,0.9,0.001,"[True, 'all']"
13,1,14,0.330445737,0.88318,113.8868546,1635.059956,0.7539,11181642,0.01,32,0.9,0.001,"[True, 'all']"
14,1,15,0.319692683,0.88802,113.9611232,1751.904372,0.7502,11181642,0.01,32,0.9,0.001,"[True, 'all']"
15,2,1,1.125116049,0.6371,105.7682824,106.4290946,0.731,11181642,0.01,32,0.9,0.001,"[True, 40]"
16,2,2,0.701766503,0.76302,105.2342923,214.5616412,0.7731,11181642,0.01,32,0.9,0.001,"[True, 40]"
17,2,3,0.602263248,0.79632,104.7707059,322.3413067,0.7613,11181642,0.01,32,0.9,0.001,"[True, 40]"
18,2,4,0.491213071,0.83214,105.1664991,431.4971418,0.7761,11181642,0.01,32,0.9,0.001,"[True, 40]"
19,2,5,0.397628664,0.86352,104.9903986,539.3478954,0.7734,11181642,0.01,32,0.9,0.001,"[True, 40]"
20,2,6,0.336786939,0.8837,104.9755154,647.2166491,0.7768,11181642,0.01,32,0.9,0.001,"[True, 40]"
21,2,7,0.305354079,0.89562,105.0377874,755.1427147,0.7749,11181642,0.01,32,0.9,0.001,"[True, 40]"
22,2,8,0.266322023,0.90878,104.7964742,862.9641039,0.7764,11181642,0.01,32,0.9,0.001,"[True, 40]"
23,2,9,0.249974106,0.9124,104.9784067,970.8367755,0.7713,11181642,0.01,32,0.9,0.001,"[True, 40]"
24,2,10,0.229891752,0.91996,104.9484837,1078.653588,0.7801,11181642,0.01,32,0.9,0.001,"[True, 40]"
25,2,11,0.208553076,0.92866,104.9185927,1186.488356,0.773,11181642,0.01,32,0.9,0.001,"[True, 40]"
26,2,12,0.196060554,0.93156,105.6171892,1295.001453,0.773,11181642,0.01,32,0.9,0.001,"[True, 40]"
27,2,13,0.190528658,0.9332,104.8755004,1402.884882,0.7778,11181642,0.01,32,0.9,0.001,"[True, 40]"
28,2,14,0.176406782,0.93802,104.8976207,1510.659781,0.7724,11181642,0.01,32,0.9,0.001,"[True, 40]"
29,2,15,0.176979237,0.93736,104.8258128,1618.380853,0.7731,11181642,0.01,32,0.9,0.001,"[True, 40]"
30,3,1,1.284777924,0.57242,83.51820374,83.922153,0.657,11181642,0.01,32,0.9,0.001,"[True, 20]"
31,3,2,0.886421635,0.6947,83.50677776,170.3022671,0.6859,11181642,0.01,32,0.9,0.001,"[True, 20]"
32,3,3,0.728917093,0.74754,83.1892736,256.4156232,0.6804,11181642,0.01,32,0.9,0.001,"[True, 20]"
33,3,4,0.609482626,0.78676,83.2085619,342.5334384,0.6806,11181642,0.01,32,0.9,0.001,"[True, 20]"
34,3,5,0.54112134,0.8099,83.07018471,428.4649742,0.6784,11181642,0.01,32,0.9,0.001,"[True, 20]"
35,3,6,0.463158671,0.83748,83.21027589,514.5406199,0.6766,11181642,0.01,32,0.9,0.001,"[True, 20]"
36,3,7,0.415861946,0.8513,83.21485114,600.7574561,0.6731,11181642,0.01,32,0.9,0.001,"[True, 20]"
37,3,8,0.37513639,0.86748,84.18638277,687.8390996,0.6679,11181642,0.01,32,0.9,0.001,"[True, 20]"
38,3,9,0.341218639,0.8787,83.28490424,774.0382137,0.6769,11181642,0.01,32,0.9,0.001,"[True, 20]"
39,3,10,0.313014338,0.88872,83.05000854,859.9485822,0.6819,11181642,0.01,32,0.9,0.001,"[True, 20]"
40,3,11,0.294300998,0.8955,83.08747697,945.9223435,0.6788,11181642,0.01,32,0.9,0.001,"[True, 20]"
41,3,12,0.269306528,0.9044,83.1609571,1032.009467,0.6783,11181642,0.01,32,0.9,0.001,"[True, 20]"
42,3,13,0.263208898,0.90766,83.20730615,1118.094082,0.6731,11181642,0.01,32,0.9,0.001,"[True, 20]"
43,3,14,0.250913758,0.91162,83.09240699,1204.080723,0.6819,11181642,0.01,32,0.9,0.001,"[True, 20]"
44,3,15,0.240870338,0.91604,83.12064433,1290.220296,0.679,11181642,0.01,32,0.9,0.001,"[True, 20]"
45,4,1,1.62961264,0.46112,54.15403771,54.61380816,0.5328,11181642,0.01,32,0.9,0.001,"[True, 10]"
46,4,2,1.255913318,0.56202,54.13337016,111.6046436,0.56,11181642,0.01,32,0.9,0.001,"[True, 10]"
47,4,3,1.122265385,0.603,53.88070512,168.377703,0.5715,11181642,0.01,32,0.9,0.001,"[True, 10]"
48,4,4,1.019701594,0.63858,53.86352372,225.1354899,0.5637,11181642,0.01,32,0.9,0.001,"[True, 10]"
49,4,5,0.93129862,0.67124,53.76602888,281.7749076,0.5589,11181642,0.01,32,0.9,0.001,"[True, 10]"
50,4,6,0.841932811,0.70082,54.05272841,338.7131193,0.5582,11181642,0.01,32,0.9,0.001,"[True, 10]"
51,4,7,0.769887283,0.72536,54.12930465,395.7795544,0.5509,11181642,0.01,32,0.9,0.001,"[True, 10]"
52,4,8,0.702341615,0.74912,54.95563984,453.5948632,0.5446,11181642,0.01,32,0.9,0.001,"[True, 10]"
53,4,9,0.647455873,0.76906,54.70979381,511.8960576,0.5454,11181642,0.01,32,0.9,0.001,"[True, 10]"
54,4,10,0.600103687,0.7842,54.09435225,568.9365456,0.5358,11181642,0.01,32,0.9,0.001,"[True, 10]"
55,4,11,0.564181448,0.79864,54.04279304,625.9613702,0.5424,11181642,0.01,32,0.9,0.001,"[True, 10]"
56,4,12,0.527477667,0.80886,54.10496235,682.9236138,0.5436,11181642,0.01,32,0.9,0.001,"[True, 10]"
57,4,13,0.504613348,0.81866,54.10693073,739.9138806,0.5334,11181642,0.01,32,0.9,0.001,"[True, 10]"
58,4,14,0.489229474,0.82322,54.18878675,797.0019181,0.5322,11181642,0.01,32,0.9,0.001,"[True, 10]"
59,4,15,0.465273418,0.82982,54.14117599,854.0134227,0.543,11181642,0.01,32,0.9,0.001,"[True, 10]"
60,5,1,1.569534726,0.4583,113.695992,114.1418271,0.5583,11181642,0.01,32,0.9,0.01,"[True, 'all']"
61,5,2,1.252972209,0.565,114.0128658,231.0238953,0.6054,11181642,0.01,32,0.9,0.01,"[True, 'all']"
62,5,3,1.19393659,0.58752,113.9382398,347.858422,0.6141,11181642,0.01,32,0.9,0.01,"[True, 'all']"
63,5,4,1.167962849,0.5983,113.919409,464.6561658,0.6125,11181642,0.01,32,0.9,0.01,"[True, 'all']"
64,5,5,1.155606595,0.60236,114.0357735,581.6340756,0.6127,11181642,0.01,32,0.9,0.01,"[True, 'all']"
65,5,6,1.147144114,0.6048,113.8086934,698.4237998,0.605,11181642,0.01,32,0.9,0.01,"[True, 'all']"
66,5,7,1.145939588,0.60674,114.6899447,815.9801357,0.6134,11181642,0.01,32,0.9,0.01,"[True, 'all']"
67,5,8,1.140580789,0.60786,114.0022495,932.8975914,0.5875,11181642,0.01,32,0.9,0.01,"[True, 'all']"
68,5,9,1.137979747,0.6107,113.9839849,1049.804791,0.6263,11181642,0.01,32,0.9,0.01,"[True, 'all']"
69,5,10,1.134807872,0.60868,114.019208,1166.727238,0.6038,11181642,0.01,32,0.9,0.01,"[True, 'all']"
70,5,11,1.136251106,0.60924,113.9958208,1283.619346,0.5932,11181642,0.01,32,0.9,0.01,"[True, 'all']"
71,5,12,1.132695646,0.61104,113.8813043,1400.392948,0.6223,11181642,0.01,32,0.9,0.01,"[True, 'all']"
72,5,13,1.136086726,0.60824,114.2547462,1517.574898,0.6127,11181642,0.01,32,0.9,0.01,"[True, 'all']"
73,5,14,1.129481302,0.61176,114.0072639,1634.475945,0.6101,11181642,0.01,32,0.9,0.01,"[True, 'all']"
74,5,15,1.13018681,0.6139,114.0443037,1751.498258,0.6236,11181642,0.01,32,0.9,0.01,"[True, 'all']"
75,6,1,1.095648112,0.64054,105.7912006,106.3796575,0.7184,11181642,0.01,32,0.9,0.01,"[True, 40]"
76,6,2,0.871776711,0.7074,105.5661719,214.8530879,0.73,11181642,0.01,32,0.9,0.01,"[True, 40]"
77,6,3,0.825027244,0.72278,105.7630761,323.5473573,0.7366,11181642,0.01,32,0.9,0.01,"[True, 40]"
78,6,4,0.80437743,0.72998,105.4207191,431.8793211,0.735,11181642,0.01,32,0.9,0.01,"[True, 40]"
79,6,5,0.795482564,0.73318,105.1000588,539.8918622,0.7349,11181642,0.01,32,0.9,0.01,"[True, 40]"
