,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,weight_decay,pretrained
0,1,1,1.6890084289550782,0.43196,115.2253623008728,117.30283737182617,0.5577,11181642,0.01,32,0.9,0.001,[False]
1,1,2,1.1913769658660889,0.58626,114.13921308517456,234.31056308746338,0.6476,11181642,0.01,32,0.9,0.001,[False]
2,1,3,0.9628229675865173,0.66534,113.89499545097351,351.4688358306885,0.6669,11181642,0.01,32,0.9,0.001,[False]
3,1,4,0.8235891773986816,0.71322,113.85855770111084,468.18480801582336,0.6791,11181642,0.01,32,0.9,0.001,[False]
4,1,5,0.7272665225410462,0.7486,114.39216351509094,585.4842011928558,0.6894,11181642,0.01,32,0.9,0.001,[False]
5,1,6,0.6507688844585419,0.77356,113.90777277946472,702.2911937236786,0.703,11181642,0.01,32,0.9,0.001,[False]
6,1,7,0.5950279251194001,0.79146,113.90212988853455,819.1244657039642,0.6965,11181642,0.01,32,0.9,0.001,[False]
7,1,8,0.5524355108070373,0.80668,114.87932324409485,936.8731281757355,0.6966,11181642,0.01,32,0.9,0.001,[False]
8,1,9,0.5110175380659103,0.82228,113.92525911331177,1053.6916589736938,0.7068,11181642,0.01,32,0.9,0.001,[False]
9,1,10,0.479922543554306,0.83152,113.9021863937378,1170.4472177028656,0.6949,11181642,0.01,32,0.9,0.001,[False]
10,1,11,0.45199847335338594,0.84228,113.75394988059998,1287.1373190879822,0.7029,11181642,0.01,32,0.9,0.001,[False]
11,1,12,0.42324951532840727,0.8512,115.33077239990234,1405.365347623825,0.7182,11181642,0.01,32,0.9,0.001,[False]
12,1,13,0.40004776121139524,0.86066,114.40640544891357,1522.6331338882446,0.696,11181642,0.01,32,0.9,0.001,[False]
13,1,14,0.3901852753210068,0.86298,114.11971807479858,1639.6790010929108,0.7071,11181642,0.01,32,0.9,0.001,[False]
14,1,15,0.3700577407932282,0.87132,113.85377836227417,1756.4799015522003,0.7139,11181642,0.01,32,0.9,0.001,[False]
15,1,16,0.3573250208282471,0.87468,114.60719585418701,1873.9654033184052,0.7057,11181642,0.01,32,0.9,0.001,[False]
16,1,17,0.35046200809955597,0.87704,114.10551857948303,1990.9652149677277,0.7169,11181642,0.01,32,0.9,0.001,[False]
17,1,18,0.3321754467201233,0.88462,113.86817455291748,2107.7007551193237,0.7125,11181642,0.01,32,0.9,0.001,[False]
18,1,19,0.3294812461853027,0.88438,119.45345091819763,2230.094549894333,0.7147,11181642,0.01,32,0.9,0.001,[False]
19,1,20,0.32556931070804596,0.88662,118.35620832443237,2351.373943567276,0.7132,11181642,0.01,32,0.9,0.001,[False]
20,1,21,0.3147662750387192,0.88884,119.0715720653534,2473.3138501644135,0.7141,11181642,0.01,32,0.9,0.001,[False]
21,1,22,0.30693355908870695,0.89204,115.96648526191711,2592.252389907837,0.711,11181642,0.01,32,0.9,0.001,[False]
22,1,23,0.30333335521697996,0.89298,115.22288751602173,2710.4463365077972,0.713,11181642,0.01,32,0.9,0.001,[False]
23,1,24,0.30150880038261413,0.89394,114.12072682380676,2827.505521774292,0.7106,11181642,0.01,32,0.9,0.001,[False]
24,1,25,0.29533971296787265,0.89794,115.05004334449768,2945.4308910369873,0.7234,11181642,0.01,32,0.9,0.001,[False]
25,1,26,0.29194028050899506,0.89802,114.34662055969238,3062.8233704566956,0.721,11181642,0.01,32,0.9,0.001,[False]
26,1,27,0.2906938556718826,0.89794,114.06751251220703,3179.755204677582,0.7122,11181642,0.01,32,0.9,0.001,[False]
27,1,28,0.2856472097635269,0.90138,114.05118799209595,3296.671732902527,0.7189,11181642,0.01,32,0.9,0.001,[False]
28,1,29,0.28821092171669005,0.8989,114.13798761367798,3413.6990275382996,0.7192,11181642,0.01,32,0.9,0.001,[False]
29,1,30,0.2843385429096222,0.8996,113.9809319972992,3530.6470289230347,0.7214,11181642,0.01,32,0.9,0.001,[False]
30,1,31,0.27314145221233366,0.90468,114.58911108970642,3648.232102394104,0.7154,11181642,0.01,32,0.9,0.001,[False]
31,1,32,0.28606035125255586,0.8991,113.88928508758545,3765.0229954719543,0.7102,11181642,0.01,32,0.9,0.001,[False]
32,1,33,0.2712645502614975,0.90426,113.92559671401978,3881.8069212436676,0.7338,11181642,0.01,32,0.9,0.001,[False]
33,1,34,0.27185451925754545,0.90606,113.94723653793335,3998.614511013031,0.7272,11181642,0.01,32,0.9,0.001,[False]
34,1,35,0.27229853580474855,0.90452,114.13778686523438,4115.663514375687,0.7217,11181642,0.01,32,0.9,0.001,[False]
35,1,36,0.27025096347808836,0.90628,114.14866280555725,4232.742375135422,0.7215,11181642,0.01,32,0.9,0.001,[False]
36,1,37,0.27059457174777984,0.90518,114.57115650177002,4350.174883842468,0.7277,11181642,0.01,32,0.9,0.001,[False]
37,1,38,0.26464402299404144,0.90748,114.18774175643921,4467.274868249893,0.7221,11181642,0.01,32,0.9,0.001,[False]
38,1,39,0.2673814228010178,0.90616,113.97098636627197,4584.131894826889,0.7147,11181642,0.01,32,0.9,0.001,[False]
39,1,40,0.26422803733825684,0.90742,113.8397057056427,4700.8967826366425,0.7225,11181642,0.01,32,0.9,0.001,[False]
